"iso","umd_tree_cover_extent_2000__ha","area__ha"
"CUB",4014607.415076411,11073122.023192802
"CUW",5260.667767818605,43776.987392599694
"CYM",13458.390701387672,28039.828707533874
"CYP",89657.9333790861,571955.8559029421
"CZE",3080384.4076044704,7883558.88597378
"DEU",12526779.901286863,35783855.98693655
"DJI",0.07522455290689677,2186335.764996811
"DMA",70924.82619295044,75428.07801477362
"DNK",663203.6978412529,4314471.980848109
"DOM",2576426.4669212936,4809195.188376463
"DZA",1223621.2908389836,124831323.1613729
"ECU",19027558.83812789,25611545.509024564
"EGY",154304.25470171796,98376439.43312633
"ERI",4.607613199092789,12045733.197588155
"ESH",0.0,26732059.55214722
"ESP",11018923.060407402,50604278.84108601
"EST",2639428.801214711,4548974.012677882
"ETH",12040336.150608048,112951806.95088336
"FIN",21627651.620616764,33693917.99093698
"FJI",1556559.2428395047,1808230.972168348
"FLK",2188.3574679431385,1239764.2697590562
"FRA",16783020.10267525,54951497.532281004
"FSM",6171.717745402496,10266.9444925675
"GAB",24690965.171510063,26454969.882697593
"GBR",3695599.4109740285,24388547.28162836
"GEO",3144573.090796686,6984457.386674284
"GGY",1508.2049958069051,8844.937559008029
"GHA",6955668.116954675,23832413.12140908
"GIB",119.85350947576408,721.216465882224
"GIN",8159637.069725801,24481606.683522355
"GLP",94757.79385751426,165028.80176987703
"GMB",4562.456649660635,1067050.7519441885
"GNB",1069848.6139013919,3388205.0046144743
"GNQ",2654595.0554944267,2695935.3382934895
"GRC",3672496.9285908155,13257505.410983719
"GRD",28534.396725153627,35953.33668168247
"GRL",0.0,5.104376985939379
"GTM",7693455.584014646,10915098.49020859
"GUF",8162751.085275412,8330096.726529245
"GUY",18996032.659763433,20974416.138354767
"HKG",62046.32394554556,112913.21583201544
"HND",7740481.980804244,11228979.897587491
"HRV",2431307.5471316134,5707840.224256239
"HTI",858466.3796002436,2710683.5872706263
"HUN",1990161.06177622,9305263.74442632
"IDN",160641223.1727836,189024469.0216065
"IMN",13217.1496224095,57966.50957255907
"IND",38830351.461555794,315279651.30498576
"IRL",841570.7684954638,7036644.200084826
"IRN",1731671.4194657693,162173902.7781605
"IRQ",17504.25585701569,44535864.69401601
"ISR",29485.155028061887,2215883.3664283487
"ITA",9318960.444527881,30075442.78397298
"JAM",768439.9915817672,1099979.9327956932
"JEY",1549.9706975625181,12512.551956941577
"JOR",2271.459741265935,8911879.301308626
"JPN",26387254.411337577,37240327.11823272
"KAZ",4240315.6796279205,273053036.22428286
"KEN",3319482.958488111,58598335.71897244
"KGZ",674974.2563739694,19864898.703857195
"KHM",8809929.848614745,18135960.793593016
"KIR",0.0,689.8485050326894
"KNA",13259.953749408907,26717.787726422524
"KOR",5367962.22560964,10022829.791973604
"KWT",0.0,1738893.795349725
"LAO",19129551.505930535,23000147.786721367
"LBN",65235.17381313833,1023803.8608157999
"LBR",9384713.475100063,9591801.582971176
"LBY",6833.009330288544,84803545.52377015
"LCA",50731.18581798432,61447.62916556149
"LIE",9077.337999991283,16203.80932193846
"LKA",3939923.7148680896,6583727.0145634785
"LSO",6051.9366416104,3054531.162856761
"LTU",2336226.279164931,6501662.9393534735
"LUX",101326.48540681414,258155.73939609874
"LVA",3553506.4649054357,6470996.260923883
"MAC",413.1857473975861,3412.7864242902588
"MAF",1849.5770934177497,5616.342785543931
"MAR",648568.6233903752,41348767.35079179
"MCO",0.39163001330075903,235.29748447835155
"MDA",356012.10175025964,3390780.8390773474
"MDG",17141085.637879495,59144707.32515883
"MDV",5569.753916260525,27912.71303579458
"MEX",53177141.60100866,195185464.6756942
"MKD",781684.4167757585,2482514.9576146947
"MLI",25097.999755578097,122506968.14455664
"MLT",116.70431756508337,32334.790779291612
"MMR",42863374.09366516,66929667.40516507
"MNE",616440.4562066038,1333523.2587353233
"MNG",4090464.886503844,156624744.50500354
"MOZ",28917947.268937603,78729716.65135112
"MRT",33.3162228607935,104117150.6411393
"MSR",4582.5272511397,10061.822079144858
"MTQ",74649.67904764859,111787.95517229025
"MUS",71304.81704860246,191366.7644696826
"MWI",1521821.687992437,11802885.394903783
"MYS",29430562.39760373,32938348.836525258
"MYT",33577.05042572623,39165.17965127702
"NAM",3835.3523543361016,82385622.18473864
"NCL",1440330.5038700837,1882559.4074683455
"NER",2.3287072451881485,94254534.80135457
"NFK",0.0,4062.5988748338063
"NGA",10048731.328581108,90840998.0204009
"NIC",7776807.371842614,12821978.32677397
"NLD",593051.6752865906,3766566.3643975677
"NOR",11739521.819424367,32512221.03573841
"NPL",5161040.90247088,14766249.544406367
"NRU",0.0,2215.2335263386053
"NZL",11255742.705745855,26716575.09922791
"OMN",0.3597874400151705,30933274.08643688
"PAK",978655.8891623549,87417630.59553997
"PAN",5700499.759153974,7510419.904453652
"PER",78087222.68306218,129281868.51759897
"PHL",18599416.941341545,29585658.162896246
"PLW",41263.46520918906,48743.20538079952
"PNG",42921808.28788332,46363060.451143794
"POL",10439489.725113915,31239917.800089456
"PRI",523696.33607211115,897037.2746448709
"PRK",5196389.714276895,12275519.138589319
"PRT",2302481.424513361,8955505.678182743
"PRY",24296867.552506514,39958667.52153016
"PSE",614.7668988424797,621996.6833201136
"QAT",0.0,1162493.7996263085
"REU",170474.52507285724,251271.10501461293
"ROU",7915161.125355889,23833793.638775475
"RUS",761223327.2689686,1678430496.9177773
"RWA",497885.7754461055,2527769.912182722
"SAU",6.807712392314237,191598433.63232034
"SDN",72712.56006032832,187213491.71252784
"SEN",39568.3625379742,19688982.712597392
"SGP",18784.23099652455,69703.6960587886
"SJM",0.0,5238139.498474384
"SLB",2741617.78668087,2853323.9296892183
"SLE",5617878.285849266,7260135.886148719
"SLV",988823.3082362263,2042272.8589493944
"SMR",829.5404327171897,6122.352960192705
